customer_unique_id,shap_historical_recency_days,shap_historical_order_count,shap_historical_revenue,shap_historical_item_count,shap_historical_unique_products,shap_historical_average_order_value,shap_historical_average_items_per_order,shap_historical_orders_per_active_day,predicted_future_revenue,future_revenue
005ff4ebe100db3eebbe6f7b19a8f99a,-0.0024238485,-1.0621213e-05,-0.0024409809,-0.000886042,0.00017614636,-0.014108,-0.0006906134,7.223339e-05,0.007138664,0.0
006031108b00e5f73b2426a50b50f9c0,0.013451702,-0.0032229843,0.08463236,-0.0007931667,-3.108215e-05,-0.106693275,-0.00024380414,0.012997436,0.027904376,0.0
00605a8897ed9ad73b5c93bebad2541a,-0.008873959,-0.00068522326,0.028006103,-0.0028826476,-0.00017332553,-0.043617375,-0.0007858833,0.00033741927,0.0,0.0
00626f29f9b57d3ef7c1739ff03e944e,0.005656111,-0.001977136,-0.03153059,-0.0040845242,-0.0019041522,0.027992059,-0.0008373946,-0.000153733,0.020799045,0.0
0062adafa3846d9f372d8f1bde591b24,0.01759261,-0.0022388229,-0.05431502,-0.0013733342,0.0001689486,0.028183987,-0.00024545405,3.9258783e-05,0.015353899,0.0
0063817060d662048ed08bccecaf45d5,-0.024724513,-0.0018898082,0.009189,0.0058033513,-0.010644059,-0.019929983,0.0021961406,0.001527171,0.0,0.0
0064a1b5f5cddd047c987b988a90c8c1,-0.005166142,-0.0005068436,-0.051400006,-0.0005881773,-0.0042024646,-0.0030187997,0.030748116,-0.0014535488,0.0,0.0
00651d97d964127ccfc0e2e55464876d,0.011012234,-0.0005982709,-0.024206556,-0.014443769,-0.00060344074,0.0067192153,-0.0015503826,0.0053156856,0.009111003,0.0
0065f6fb341f013a95a8e11cdc98d07a,0.0016967376,-0.001672597,-0.016092816,-0.002174702,-0.00020961222,0.010942404,-0.0010320942,0.001982227,0.021083767,0.0
0066b328e72fd82fd7420bf849c0e8b4,-0.011122065,-0.0019505062,-0.0014476014,-0.0027180375,0.0003085398,0.0013791764,-0.00078089756,0.0021776834,0.013359759,0.0
006a8c1784d622ebe06bab57e72ee045,-0.02112554,-0.0005879276,0.01445898,-0.0034181022,0.0004517287,0.0014399786,-0.0016255007,0.002705616,0.019920096,0.0
006ab6f5e82340e927757563a9fbe7e4,-0.028636279,-0.00010684986,-0.024373323,0.0015363537,0.00084328937,0.010553107,0.0014008688,-0.0010024279,0.0,0.0
006b297ed73773b17d8874a2eb4466e8,0.016968226,-0.0031209795,-0.035355035,-0.0038299945,-0.0007897397,0.027770393,0.00016797325,0.0005206177,0.030203613,0.0
006bbb235068a01d2e3e47fa09ccf53c,-0.0053403787,-0.00066167105,0.022255352,-0.0025789826,6.679453e-06,-0.00014449877,-0.00037623895,0.00018126032,0.04160896,0.0
006d763076d74d16d66e828e79ec1544,0.012589043,-0.001992729,-0.010258506,-0.0016837852,0.00021935714,0.004146544,-0.0020651962,0.0021448755,0.030995287,0.0
006e937bd5a5e32043018a6d1521b5d5,0.017866557,-0.0017047554,0.03944176,-0.00087019015,-0.0002074309,-0.10093386,-9.570007e-05,0.024883095,0.005821382,0.0
006ec5b170182812131c7d9b219c036f,-0.009432089,-0.0005689855,0.0014108757,-0.003375771,0.00034429014,-0.009973909,-0.0009945941,0.0030008033,0.007866421,0.0
006f2f20cf0cd723624b99d0e8e40d0c,-0.0015005323,-0.0007479335,-0.0028772173,-0.0028005897,-0.00020298321,0.0053514424,-0.0006640567,6.811301e-05,0.024342837,0.0
00704e915ae0d4a236eace0267454cf9,-0.0015165464,-0.001628536,-0.039902702,-0.001881228,0.00010024639,0.026666,-1.5788935e-05,-0.00095869676,0.008322225,0.0
0071f46a072a9ae25bbe4438b15efe9c,-0.028996054,-0.00059924845,-0.013121413,-0.0058463956,-7.005075e-05,0.025184458,-0.009379586,0.0041916147,0.0,0.0
00720f160ff500d3605a1bf403eb62d9,0.061746046,-0.0016978934,-0.030489072,-0.000100501806,-0.0022222789,0.001491914,-0.0011831877,0.0010035788,0.057569776,0.0
00728bae3dec9c16b2193ab7e3195eb7,0.018993897,-0.0017893418,0.008556363,-0.0012382074,1.0010264e-05,0.04237041,3.5381185e-05,-0.0024858527,0.09623076,0.0
